catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,q95Frac,high_fdc
1016,-90.65774,30.87905,0.551036851,0.89413285,0.020344362,0.455306931,0.221696481,1.386799196,3.743534866,7.008572791
1017,-92.94477,31.22562,0.6443733,0.974344215,-0.066078394,0.309171979,0.026046443,3.990545485,4.458797894,8.109425926
1018,-92.98258,30.94477,0.757058667,0.956656816,-0.046365075,0.469264694,0.162243765,2.387676594,3.453261781,6.067497792
1019,-93.4347,31.42961,0.456507418,1.01393867,-0.094186091,0.248012457,0.011284546,7.467258542,4.411639962,9.143705817
1020,-93.84996,30.9381,0.481229528,0.974317516,-0.031579918,0.433032392,0.115014577,3.85213525,2.922640365,5.881476029
1021,-94.90495,30.83703,0.291622874,1.080233195,-0.034339437,0.163476315,0.003187265,11.07003308,3.527095908,10.57630649
1022,-94.77758,30.60494,0.281542667,1.037640082,-0.00147223,0.408992712,0.105328074,2.89381012,3.550366318,6.919280679
1023,-95.29394,30.58203,0.407349873,1.102356545,-0.019497169,0.251817848,0.037280042,4.212497096,3.674570853,9.009643972
1024,-95.26521,30.5275,0.460965693,1.093810801,-0.011248041,0.305633326,0.047051398,3.857392107,4.741333149,9.303008609
1025,-97.97121,30.66586,0.182270816,1.746626174,0.022267109,0.43985645,0.002385263,11.66025748,3.061087517,5.892278554
1026,-97.11498,30.41359,0.267433337,1.536289134,-0.022804059,0.231432763,0.002462453,13.6072241,3.891576055,10.26326614
1027,-99.1282,30.46542,0.143149823,2.233981301,0.107622847,0.308830498,0.001826289,16.92190695,2.06872842,6.179652741
1028,-98.0296,30.25722,0.227861081,1.731424137,0.050060737,0.446327995,0.006275451,6.578116929,3.630796803,6.48744173
1029,-97.01247,29.30441,0.344590648,1.518367035,0.037565733,0.192588922,0.002778226,11.7140941,3.583911797,10.37141796
1030,-96.91521,29.64917,0.486331517,1.502842555,0.00154229,0.158089419,7.74E-05,24.28295091,2.352949524,9.250010119
1031,-99.5509,30.05147,0.159988383,2.216617186,0.151097161,0.663790503,0.228818557,2.949689491,1.789526991,2.726699118
1032,-97.66095,29.31199,0.291522467,1.733496961,0.04394976,0.120380291,0.00248276,8.436670888,3.767801772,13.41053786
1033,-99.31528,29.81589,0.246354834,1.956021676,0.103301208,0.470312922,0.00834816,10.89065696,2.870502963,5.992800824
1034,-97.6094,28.51445,0.269071018,1.865540614,0.131233506,0.166323589,7.67E-05,23.48170487,2.539049847,10.41498931
1035,-100.02904,29.79795,0.198890448,2.324663263,0.163508731,0.572600386,0.101070087,3.500110892,2.813919552,5.324829742
1036,-99.72608,29.77502,0.292729949,2.123252342,0.146482714,0.617665184,0.108328481,3.757121,2.729205918,4.902986416
1037,-99.85071,29.61316,0.303295353,2.137856602,0.143513381,0.479885085,0.034111218,5.46629239,3.219610487,6.560299528
1038,-99.5361,29.63586,0.243193225,1.992909747,0.116854011,0.207027854,0.000656443,13.39961635,2.485292027,13.09092119
1039,-105.4843,36.57883,59.02343127,1.246363702,0.452663498,0.698316329,0.245220669,1.925792717,3.489711652,5.787675932
1040,-105.41104,36.46765,49.57480104,1.216422934,0.54042832,0.650176095,0.182391397,2.003101152,4.286653814,7.236134601
1041,-105.46379,36.51731,64.30234503,1.227171585,0.468256095,0.686892827,0.243671047,1.693465274,3.769699129,6.061782817
1042,-106.67371,35.89207,38.84953092,1.540213763,0.404489268,0.631414101,0.208478607,2.338115278,4.09476396,7.364122073
1043,-105.56471,35.8574,49.00158028,0.815685687,0.736897489,0.571494531,0.128586405,3.053889989,4.445415703,7.200233088
1044,-105.62717,35.84974,47.80591229,0.876795145,0.710773875,0.643023631,0.224619233,1.82703361,3.94975188,6.364202721
